"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","Estonia","Percentage","From 16 to 24 years","Total","2006","More than 12 times","3.8",""
"Cinema","Estonia","Percentage","From 16 to 29 years","Total","2006","Never","35",""
"Cinema","Estonia","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","32.4",""
"Cinema","Estonia","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","18.6",""
"Cinema","Estonia","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","10.1",""
"Cinema","Estonia","Percentage","From 16 to 29 years","Total","2006","More than 12 times","3.9",""
"Cinema","Estonia","Percentage","From 20 to 24 years","Total","2006","Never","29.2",""
"Cinema","Estonia","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","36.5",""
"Cinema","Estonia","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","18.1",""
"Cinema","Estonia","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","12.3",""
"Cinema","Estonia","Percentage","From 20 to 24 years","Total","2006","More than 12 times","3.8",""
"Cinema","Estonia","Percentage","From 20 to 29 years","Total","2006","Never","38.2",""
"Cinema","Estonia","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","31.9",""
"Cinema","Estonia","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","16.2",""
"Cinema","Estonia","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","9.8",""
"Cinema","Estonia","Percentage","From 20 to 29 years","Total","2006","More than 12 times","4",""
"Cinema","Estonia","Percentage","From 25 to 29 years","Total","2006","Never","47.9",""
"Cinema","Estonia","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","26.8",""
"Cinema","Estonia","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","14.1",""
"Cinema","Estonia","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","7",""
"Cinema","Estonia","Percentage","From 25 to 29 years","Total","2006","More than 12 times","4.1",""
"Cinema","Ireland","Percentage","From 16 to 19 years","Total","2006","Never","22.7","u"
"Cinema","Ireland","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","21.9","u"
"Cinema","Ireland","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","19.1","u"
"Cinema","Ireland","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","17.9","u"
"Cinema","Ireland","Percentage","From 16 to 19 years","Total","2006","More than 12 times","18.4","u"
"Cinema","Ireland","Percentage","From 16 to 24 years","Total","2006","Never","21.7","u"
"Cinema","Ireland","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","22.3","u"
"Cinema","Ireland","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","17","u"
"Cinema","Ireland","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","16.3","u"
"Cinema","Ireland","Percentage","From 16 to 24 years","Total","2006","More than 12 times","22.7","u"
"Cinema","Ireland","Percentage","From 16 to 29 years","Total","2006","Never","22.2","u"
"Cinema","Ireland","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","23.8","u"
"Cinema","Ireland","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","17.4","u"
"Cinema","Ireland","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","15.6","u"
"Cinema","Ireland","Percentage","From 16 to 29 years","Total","2006","More than 12 times","21","u"
"Cinema","Ireland","Percentage","From 20 to 24 years","Total","2006","Never","20.9","u"
"Cinema","Ireland","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","22.7","u"
"Cinema","Ireland","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","15.3","u"
"Cinema","Ireland","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","15","u"
"Cinema","Ireland","Percentage","From 20 to 24 years","Total","2006","More than 12 times","26.1","u"
"Cinema","Ireland","Percentage","From 20 to 29 years","Total","2006","Never","21.9","u"
"Cinema","Ireland","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","24.8","u"
"Cinema","Ireland","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","16.5","u"
